14.1" Ноутбук Irbis NB144 серый,Full HD (1920x1080),IPS,Intel Celeron 3350,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel HD Graphics 500,Windows 10 Pro,16 999 ₽
13.3" Ноутбук Irbis NB77 черный,HD (1366x768),TN+film,Intel Atom Z3735F,ядра: 4 х 1.33 ГГц,RAM 2 ГБ,eMMC 32 ГБ,Intel HD Graphics,Windows 10 Home Single Language,13 999 ₽
11.6" Ноутбук Irbis NB120 YOGA черный,HD (1366x768),IPS,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel UHD Graphics 600,Windows 10 Pro,17 999 ₽
14" Ноутбук Irbis NB257 серый,HD (1366x768),IPS,Intel Celeron 3350,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel HD Graphics 500,Windows 10 Home Single Language,17 999 ₽
14.1" Ноутбук Irbis NB248 черный,Full HD (1920x1080),IPS,Intel Celeron 3350,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel HD Graphics 500,Windows 10 Pro,18 999 ₽
11.6" Ноутбук ASUS Laptop E210MA-GJ001T синий,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,19 999 ₽
11.6" Ноутбук Lenovo IdeaPad 1 11ADA05 серый,HD (1366x768),TN+film,AMD 3020e,ядра: 2 х 1.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,AMD Radeon Graphics,без ОС,19 999 ₽
13.3" Ноутбук Irbis NB79 синий,HD (1366x768),TN+film,Intel Celeron 3350,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel HD Graphics 500,Windows 10 Home Single Language,19 999 ₽
11.6" Ноутбук ASUS Laptop 11 E210MA-GJ151T черный,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS Laptop 11 E210MA-GJ185T синий,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS Laptop 11 E210MA-GJ204T черный,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS Laptop E210MA-GJ002T розовый,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS Laptop E210MA-GJ003T белый,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 64 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS Laptop E210MA-GJ338T черный,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS VivoBook 11 E210MA-GJ327T розовый,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,21 999 ₽
11.6" Ноутбук ASUS Laptop 11 E210MA-GJ193T розовый,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,22 999 ₽
11.6" Ноутбук ASUS Laptop E210MA-GJ320T синий,HD (1366x768),TN+film,Intel Celeron N4020,ядра: 2 х 1.1 ГГц,RAM 4 ГБ,eMMC 128 ГБ,Intel UHD Graphics 600,Windows 10 Home Single Language,22 999 ₽
11.6" Ноутбук Lenovo IdeaPad 1 11ADA05 синий,HD (1366x768),TN+film,AMD 3020e,ядра: 2 х 1.2 ГГц,RAM 4 ГБ,SSD 128 ГБ,AMD Radeon Graphics,Windows 10 Home Single Language,23 999 ₽
